x,biomass_b,biomass_a
0,0,0
0.1486,0.02091,0.06164
1.0613,0.04001,0.09769
1.0894,0.04109,0.09857
2.0058,0.09677,0.12935
2.0277,0.09853,0.13044
3.0196,0.17861,0.20436
3.0699,0.18188,0.20943
4.0632,0.2348,0.30955
4.1063,0.23712,0.312
5.0495,0.30796,0.33404
5.0995,0.31237,0.3357
6.0211,0.45058,0.44199
6.0439,0.42349,0.60669
7.0243,0.49292,0.68389
7.0592,0.49433,0.68602
16.0555,0.82212,1.05212
16.0957,0.82322,1.05328
18.0703,0.88645,1.08092
18.1053,0.89136,1.08273
22.0759,1.30704,1.25332
22.1038,1.3088,1.25372
26.0284,1.35483,1.21698
26.091,1.35415,1.21767
30.0467,1.36387,1.32098
30.1158,1.36398,1.32071
38.0668,1.35271,1.14616
38.0812,1.35267,1.14584
42.0115,1.34327,1.13517
42.05,1.34322,1.1354
48.0882,1.33828,1.12411
48.0974,1.33828,1.12407
