x,ph_a,ph_b
0,7.5604,7.535
0.051,7.5392,7.535
1.05,7.1765,7.5257
1.075,7.1701,7.5249
1.971,6.9897,7.396
2.023,6.9753,7.3779
2.944,6.6922,6.9553
3.021,6.6774,6.9266
3.994,6.5732,6.7308
4.071,6.5648,6.7175
4.941,6.4919,6.5237
4.992,6.4945,6.5126
5.965,6.5662,5.9592
6.093,6.2131,6.1812
7.066,5.9953,5.7492
16.001,4.8249,4.7258
16.078,4.8158,4.7201
17.972,4.6013,4.699
18.024,4.5982,4.6874
21.966,4.2814,3.8784
22.017,4.2765,3.8726
25.986,3.8492,3.8592
26.011,3.8465,3.8598
30.056,3.466,3.5061
30.108,3.461,3.4992
38.07,2.6071,2.3783
38.095,2.604,2.3745
41.987,2.0774,1.8048
42.038,2.0716,1.7985
48.054,1.5429,1.13
48.08,1.5408,1.1273
